iter	Passed	Remaining
402	11400	16888
403	11416	16841
404	11431	16794
405	11447	16748
406	11463	16702
407	11479	16656
408	11495	16610
409	11510	16563
410	11526	16518
411	11542	16473
412	11558	16427
413	11575	16384
414	11591	16339
415	11610	16298
416	11629	16258
417	11647	16217
418	11667	16177
419	11687	16139
420	11712	16107
421	11728	16064
422	11744	16019
423	11759	15975
424	11776	15932
425	11791	15888
426	11807	15844
427	11824	15802
428	11841	15761
429	11857	15717
430	11873	15674
431	11889	15632
432	11904	15588
433	11920	15545
434	11932	15498
435	11946	15453
436	11962	15411
437	11977	15368
438	11993	15325
439	12009	15284
440	12025	15242
441	12039	15199
442	12055	15158
443	12071	15116
444	12086	15073
445	12101	15032
446	12121	14995
447	12136	14954
448	12151	14912
449	12166	14869
450	12179	14826
451	12195	14785
452	12211	14745
453	12228	14706
454	12242	14664
455	12259	14625
456	12275	14585
457	12290	14544
458	12306	14505
459	12323	14466
460	12338	14426
461	12356	14389
462	12374	14352
463	12391	14314
464	12408	14276
465	12425	14238
466	12441	14199
467	12457	14160
468	12473	14122
469	12489	14084
470	12505	14045
471	12527	14013
472	12542	13974
473	12559	13937
474	12586	13911
475	12608	13879
476	12676	13898
477	12722	13893
478	12755	13874
479	12787	13852
480	12807	13819
481	12836	13794
482	12859	13764
483	12883	13735
484	12900	13698
485	12919	13663
486	12945	13637
487	12966	13603
488	12984	13569
489	13002	13533
490	13018	13495
491	13035	13459
492	13051	13422
493	13067	13384
494	13084	13348
495	13099	13311
496	13115	13273
497	13131	13237
498	13149	13201
499	13164	13164
500	13182	13129
501	13199	13094
502	13216	13059
503	13234	13024
504	13251	12989
505	13267	12952
506	13284	12917
507	13301	12882
508	13318	12847
509	13338	12815
510	13359	12783
511	13378	12751
512	13394	12715
513	13410	12679
514	13426	12644
515	13441	12607
516	13454	12570
517	13470	12534
518	13487	12500
519	13502	12463
520	13516	12427
521	13536	12395
522	13562	12369
523	13591	12346
524	13675	12373
525	13728	12371
526	13794	12380
527	13829	12363
528	13852	12333
529	13874	12303
530	13896	12273
531	13913	12239
532	13931	12206
533	13948	12171
534	13966	12139
535	13983	12105
536	14000	12071
537	14015	12035
538	14031	12000
539	14046	11965
540	14062	11930
541	14079	11897
542	14094	11862
543	14109	11827
544	14124	11792
545	14139	11756
546	14158	11725
547	14174	11691
548	14192	11659
549	14208	11624
550	14223	11590
551	14237	11555
552	14253	11520
553	14266	11485
554	14282	11451
555	14297	11417
556	14311	11382
557	14327	11349
558	14342	11314
559	14358	11281
560	14374	11248
561	14390	11215
562	14406	11182
563	14422	11149
564	14438	11116
565	14454	11083
566	14469	11049
567	14485	11017
568	14501	10984
569	14516	10951
570	14530	10916
571	14550	10887
572	14569	10856
573	14584	10823
574	14597	10789
575	14610	10754
576	14625	10722
577	14640	10689
578	14657	10657
579	14672	10625
580	14688	10593
581	14703	10560
582	14718	10527
583	14734	10496
584	14749	10463
585	14765	10431
586	14780	10399
587	14799	10369
588	14814	10337
589	14829	10305
590	14841	10271
591	14856	10238
592	14871	10206
593	14885	10174
594	14900	10142
595	14916	10111
596	14932	10079
597	14950	10050
598	14965	10018
599	14980	9986
600	14995	9955
601	15008	9922
602	15023	9890
603	15038	9859
604	15052	9827
605	15068	9796
606	15083	9765
607	15098	9734
608	15114	9703
609	15130	9673
610	15148	9644
611	15168	9616
612	15186	9587
613	15201	9556
614	15216	9525
615	15230	9494
616	15245	9463
617	15261	9433
618	15276	9402
619	15290	9371
620	15304	9340
621	15319	9310
622	15334	9279
623	15352	9250
624	15369	9221
625	15384	9191
626	15400	9161
627	15416	9132
628	15431	9102
629	15447	9072
630	15463	9042
631	15478	9012
632	15494	8983
633	15510	8953
634	15525	8924
635	15540	8894
636	15553	8863
637	15568	8833
638	15584	8804
639	15599	8774
640	15614	8745
641	15629	8715
642	15643	8685
643	15659	8656
644	15677	8628
645	15695	8601
646	15714	8573
647	15732	8546
648	15749	8517
649	15768	8490
650	15784	8462
651	15800	8433
652	15817	8405
653	15832	8375
654	15847	8347
655	15863	8318
656	15879	8290
657	15895	8261
658	15910	8232
659	15926	8204
660	15942	8176
661	15959	8148
662	15975	8120
663	15989	8091
664	16005	8063
665	16021	8034
666	16036	8006
667	16052	7978
668	16065	7948
669	16080	7920
670	16095	7892
671	16111	7864
672	16128	7836
673	16145	7809
674	16162	7782
675	16177	7753
676	16193	7725
677	16208	7697
678	16223	7669
679	16238	7641
680	16254	7614
681	16270	7586
682	16285	7558
683	16298	7529
684	16313	7501
685	16330	7474
686	16347	7447
687	16367	7422
688	16385	7396
689	16403	7369
690	16421	7343
691	16439	7316
692	16457	7290
693	16475	7264
694	16492	7237
695	16509	7211
696	16527	7185
697	16551	7161
698	16568	7134
699	16584	7107
700	16602	7081
701	16620	7055
702	16636	7028
703	16654	7002
704	16672	6976
705	16689	6949
706	16706	6923
707	16723	6897
708	16741	6871
709	16758	6845
710	16776	6819
711	16794	6793
712	16816	6768
713	16834	6743
714	16853	6717
715	16869	6691
716	16885	6664
717	16901	6638
718	16917	6611
719	16932	6584
720	16951	6559
721	16967	6533
722	16985	6507
723	17001	6481
724	17016	6454
725	17031	6427
726	17048	6401
727	17063	6375
728	17079	6349
729	17091	6321
730	17107	6295
731	17123	6269
732	17137	6242
733	17154	6216
734	17170	6190
735	17185	6164
736	17200	6137
